4.00E-02	0	-3.789577726
8.00E-02	0	-3.129933182
0.12	0	-2.678139095
0.16	0	-2.431774429
0.2	0	-2.203528145
0.24	0	-1.99804939
0.28	0	-1.93416933
0.32	0	-1.870372931
0.36	0	-1.708079732
0.4	0	-1.644026509
0.44	0	-1.542963282
0.48	0	-1.560953774
0.52	0	-1.512108483
0.56	0	-1.45899266
0.6	0	-1.435940447
0.64	0	-1.375975038
0.68	0	-1.276381741
0.72	0	-1.317581585
0.76	0	-1.333175012
0.8	0	-1.249315823
0.84	0	-1.206335891
0.88	0	-1.211753192
0.92	0	-1.23232094
0.96	0	-1.190610568
1	0	-1.1031492
1.04	0	-1.196441666
1.08	0	-1.234403603
1.12	0	-1.147198028
1.16	0	-1.207731974
1.2	0	-1.195519833
1.24	0	-1.108628756
1.28	0	-0.969512423
1.32	0	-0.923206591
1.36	0	-1.174103736
1.4	0	-1.110885203
1.44	0	-1.039385556
1.48	0	-1.010463224
1.52	0	-0.979675573
1.56	0	-1.047471975
1.6	0	-1.137304766
1.64	0	-1.059625454
1.68	0	-1.260253179
1.72	0	-0.86330092
1.76	0	-0.925653446
1.8	0	-1.119364813
1.84	0	-0.935752601
1.88	0	-0.995449691
1.92	0	-0.890654116
1.96	0	-1.13777892
2	0	-0.88815852
		
4.00E-02	0.2	-3.835501678
8.00E-02	0.2	-3.150786625
0.12	0.2	-2.677237591
0.16	0.2	-2.425297427
0.2	0.2	-2.19208308
0.24	0.2	-1.95294369
0.28	0.2	-1.909119176
0.32	0.2	-1.803268308
0.36	0.2	-1.744632356
0.4	0.2	-1.607427738
0.44	0.2	-1.543255932
0.48	0.2	-1.46722496
0.52	0.2	-1.448689831
0.56	0.2	-1.396334735
0.6	0.2	-1.294611675
0.64	0.2	-1.271865871
0.68	0.2	-1.151909108
0.72	0.2	-1.198382415
0.76	0.2	-1.163437415
0.8	0.2	-1.109009653
0.84	0.2	-1.100879162
0.88	0.2	-1.059821864
0.92	0.2	-1.013109104
0.96	0.2	-1.024727529
1	0.2	-0.960705437
1.04	0.2	-1.07397046
1.08	0.2	-0.928060634
1.12	0.2	-0.989218404
1.16	0.2	-0.921751492
1.2	0.2	-0.89106872
1.24	0.2	-0.825191324
1.28	0.2	-0.958206478
1.32	0.2	-0.877108633
